i,Volts,Ptorr
396,5.96,2.078e-01
397,5.97,2.104e-01
398,5.98,2.129e-01
399,5.99,2.155e-01
400,6.00,2.180e-01
401,6.01,2.205e-01
402,6.02,2.230e-01
403,6.03,2.255e-01
404,6.04,2.280e-01
405,6.05,2.305e-01
406,6.06,2.330e-01
407,6.07,2.355e-01
408,6.08,2.380e-01
409,6.09,2.405e-01
410,6.10,2.430e-01
411,6.11,2.455e-01
412,6.12,2.480e-01
413,6.13,2.505e-01
414,6.14,2.530e-01
415,6.15,2.555e-01
416,6.16,2.580e-01
417,6.17,2.605e-01
418,6.18,2.630e-01
419,6.19,2.655e-01
420,6.20,2.680e-01
421,6.21,2.709e-01
422,6.22,2.738e-01
423,6.23,2.767e-01
424,6.24,2.796e-01
425,6.25,2.825e-01
426,6.26,2.854e-01
427,6.27,2.883e-01
428,6.28,2.912e-01
429,6.29,2.941e-01
430,6.30,2.970e-01
431,6.31,2.999e-01
432,6.32,3.028e-01
433,6.33,3.057e-01
434,6.34,3.086e-01
435,6.35,3.115e-01
436,6.36,3.144e-01
437,6.37,3.173e-01
438,6.38,3.202e-01
439,6.39,3.231e-01
440,6.40,3.260e-01
441,6.41,3.297e-01
442,6.42,3.334e-01
443,6.43,3.371e-01
444,6.44,3.408e-01
445,6.45,3.445e-01
446,6.46,3.482e-01
447,6.47,3.519e-01
448,6.48,3.556e-01
449,6.49,3.593e-01
450,6.50,3.630e-01
451,6.51,3.667e-01
452,6.52,3.704e-01
453,6.53,3.741e-01
454,6.54,3.778e-01
455,6.55,3.815e-01
456,6.56,3.852e-01
457,6.57,3.889e-01
458,6.58,3.926e-01
459,6.59,3.963e-01
460,6.60,4.000e-01
461,6.61,4.040e-01
462,6.62,4.080e-01
463,6.63,4.120e-01
464,6.64,4.160e-01
465,6.65,4.200e-01
466,6.66,4.240e-01
467,6.67,4.280e-01
468,6.68,4.320e-01
469,6.69,4.360e-01
470,6.70,4.400e-01
471,6.71,4.440e-01
472,6.72,4.480e-01
473,6.73,4.520e-01
474,6.74,4.560e-01
475,6.75,4.600e-01
476,6.76,4.640e-01
477,6.77,4.680e-01
478,6.78,4.720e-01
479,6.79,4.760e-01
480,6.80,4.800e-01
481,6.81,4.847e-01
482,6.82,4.895e-01
483,6.83,4.943e-01
484,6.84,4.990e-01
485,6.85,5.037e-01
486,6.86,5.085e-01
487,6.87,5.133e-01
488,6.88,5.180e-01
489,6.89,5.227e-01
490,6.90,5.275e-01
491,6.91,5.323e-01
492,6.92,5.370e-01
493,6.93,5.417e-01
494,6.94,5.465e-01
495,6.95,5.513e-01
496,6.96,5.560e-01
497,6.97,5.607e-01
498,6.98,5.655e-01
499,6.99,5.703e-01
500,7.00,5.750e-01
501,7.01,5.808e-01
502,7.02,5.867e-01
503,7.03,5.926e-01
504,7.04,5.984e-01
505,7.05,6.042e-01
506,7.06,6.101e-01
507,7.07,6.160e-01
508,7.08,6.218e-01
509,7.09,6.276e-01
510,7.10,6.335e-01
511,7.11,6.394e-01
512,7.12,6.452e-01
513,7.13,6.510e-01
514,7.14,6.569e-01
515,7.15,6.628e-01
516,7.16,6.686e-01
517,7.17,6.744e-01
518,7.18,6.803e-01
519,7.19,6.862e-01
520,7.20,6.920e-01
521,7.21,7.001e-01
522,7.22,7.083e-01
523,7.23,7.165e-01
524,7.24,7.246e-01
525,7.25,7.327e-01
526,7.26,7.409e-01
527,7.27,7.490e-01
528,7.28,7.572e-01
529,7.29,7.653e-01
530,7.30,7.735e-01
531,7.31,7.816e-01
532,7.32,7.898e-01
533,7.33,7.979e-01
534,7.34,8.061e-01
535,7.35,8.142e-01
536,7.36,8.224e-01
537,7.37,8.305e-01
538,7.38,8.387e-01
539,7.39,8.468e-01
540,7.40,8.550e-01
541,7.41,8.647e-01
542,7.42,8.745e-01
543,7.43,8.842e-01
544,7.44,8.940e-01
545,7.45,9.038e-01
546,7.46,9.135e-01
547,7.47,9.232e-01
548,7.48,9.330e-01
549,7.49,9.428e-01
550,7.50,9.525e-01
551,7.51,9.622e-01
